"","trending_date","title","channel_title","category_id","publish_time","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","publish_hour","publish_when","publish_wday","timetotrend","likesp","dislikesp"
"31",2017-11-14,"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......","hp_overload","Autos and Vehicles",2017-11-12 20:43:12,98378,4035,495,486,FALSE,FALSE,FALSE,20,"3pm to 12am","Sunday","1",0.0410152676411393,0.00503161275895017
"35",2017-11-14,"New Emirates First Class Suite | Boeing 777 | Emirates","Emirates","Travel and Events",2017-11-12 00:55:42,141148,1661,70,236,FALSE,FALSE,FALSE,0,"12am to 8am","Sunday","2",0.0117677898376173,0.000495933346558223
"59",2017-11-14,"Train Swipes Parked Vehicle","ViralHog","Autos and Vehicles",2017-11-12 19:46:11,7265,89,8,22,FALSE,FALSE,FALSE,19,"3pm to 12am","Sunday","1",0.0122505161734343,0.00110116999311769
"132",2017-11-14,"L.A. Noire - Nintendo Switch Trailer","Nintendo","Gaming",2017-11-09 14:59:48,154872,7683,164,1734,FALSE,FALSE,FALSE,14,"8am to 3pm","Thursday","5",0.0496087091275376,0.00105893899478279
"164",2017-11-14,"Caterham Chris Hoy 60 Second Donut Challenge","Caterham Cars","Autos and Vehicles",2017-11-09 04:59:31,4850,22,1,1,FALSE,FALSE,FALSE,4,"12am to 8am","Thursday","5",0.0045360824742268,0.000206185567010309
"198",2017-11-14,"Inside Keanu Reeves' Custom Motorcycle Shop | WIRED","WIRED","Autos and Vehicles",2017-11-08 10:00:27,704363,16352,224,841,FALSE,FALSE,FALSE,10,"8am to 3pm","Wednesday","6",0.0232153023370052,0.000318017840232948
"274",2017-11-15,"Evolution of the Jeep 4x4 Utility Vehicle | Donut Media","Donut Media","Autos and Vehicles",2017-11-13 10:00:05,93829,2229,36,469,FALSE,FALSE,FALSE,10,"8am to 3pm","Monday","2",0.0237559816261497,0.000383676688443871
"292",2017-11-15,"'Lightning Strike' B777-300 on departure @ KL743 // PH-BVS","Valk Aviation","Travel and Events",2017-11-13 04:21:27,571588,386,47,113,FALSE,FALSE,FALSE,4,"12am to 8am","Monday","2",0.000675311588066929,0.0000822270586506365
"406",2017-11-16,"Our First Date","iHasCupquake","Gaming",2017-11-15 15:00:00,224426,17784,225,2762,FALSE,FALSE,FALSE,15,"8am to 3pm","Wednesday","1",0.0792421555434754,0.00100255763592454
"542",2017-11-16,"Vostok Brompton Beach Ride","Vostok.bike","Travel and Events",2017-10-21 11:12:53,1118,6,0,2,FALSE,FALSE,FALSE,11,"8am to 3pm","Saturday","8+",0.00536672629695885,0
"653",2017-11-17,"Playing CUPHEAD with MatPat!","Butch Hartman","Gaming",2017-11-15 17:02:34,55460,3871,96,428,FALSE,FALSE,FALSE,17,"3pm to 12am","Wednesday","2",0.069798052650559,0.00173097728092319
"698",2017-11-17,"The Crazy 5,000hp Devel Sixteen is REAL! | FIRST LOOK","Shmee150","Autos and Vehicles",2017-11-14 13:00:02,298744,5906,444,1502,FALSE,FALSE,FALSE,13,"8am to 3pm","Tuesday","3",0.0197694346999438,0.00148622231743566
"1015",2017-11-19,"FIA GT World Cup 2017. Qualification Race Macau Grand Prix. Huge Pile Up","CrashRacing","Autos and Vehicles",2017-11-17 23:57:43,831968,3925,221,769,FALSE,FALSE,FALSE,23,"3pm to 12am","Friday","1",0.00471772952805877,0.000265635216739105
"1114",2017-11-19,"Small Truck VS  Strong Wind","Video Library","Autos and Vehicles",2017-11-16 10:02:36,12212,4,1,3,FALSE,FALSE,FALSE,10,"8am to 3pm","Thursday","3",0.000327546675401245,0.0000818866688503112
"1259",2017-11-20,"Inside The World's Only Private Boeing 787 Dreamliner!","Sam Chui","Travel and Events",2017-11-17 08:01:28,1126715,12919,1188,1248,FALSE,FALSE,FALSE,8,"8am to 3pm","Friday","3",0.0114660761594547,0.00105439263700226
"1262",2017-11-20,"Elon Musk Gives First Look At Tesla's Electric Semi","Tech Insider","Autos and Vehicles",2017-11-17 09:36:39,741859,8604,599,2847,FALSE,FALSE,FALSE,9,"8am to 3pm","Friday","3",0.0115978912434843,0.000807431061697708
"1440",2017-11-21,"The Horrors of Flavored Water","Simon and Martina","Travel and Events",2017-11-19 07:35:07,224651,10504,300,1586,FALSE,FALSE,FALSE,7,"12am to 8am","Sunday","2",0.0467569696996675,0.00133540469439264
"1859",2017-11-23,"Mega Medley that was supposed to be 5 minutes but wasn't","lara6683","Gaming",2017-11-21 21:46:07,87397,3617,29,237,FALSE,FALSE,FALSE,21,"3pm to 12am","Tuesday","1",0.0413858599265421,0.000331819169994393
"2411",2017-11-26,"I just bought the most ridiculous car","Simone Giertz","Autos and Vehicles",2017-11-24 13:35:34,357052,18377,468,2057,FALSE,FALSE,FALSE,13,"8am to 3pm","Friday","2",0.0514686936356609,0.00131073345058983
"2696",2017-11-27,"Brazil's Video Game Gray Markets","Cloth Map","Travel and Events",2017-11-22 10:01:16,72789,5211,29,315,FALSE,FALSE,FALSE,10,"8am to 3pm","Wednesday","5",0.0715904875736718,0.000398411847944057
"2797",2017-11-27,"Dominoes Pizza Delivery on Bike","ViralHog","Autos and Vehicles",2017-11-20 15:33:38,4524,44,7,9,FALSE,FALSE,FALSE,15,"8am to 3pm","Monday","7",0.00972590627763042,0.0015473032714412
"2806",2017-11-28,"The Spyker C8 Is the Quirkiest $250,000 Exotic Car in History","Doug DeMuro","Autos and Vehicles",2017-11-27 12:00:48,705169,21050,532,5784,FALSE,FALSE,FALSE,12,"8am to 3pm","Monday","1",0.0298510002566761,0.000754429080121219
"3177",2017-11-29,"Urus: A Super SUV with Super Sports Car DNA","Lamborghini","Autos and Vehicles",2017-11-24 11:43:25,17746,452,12,51,FALSE,FALSE,FALSE,11,"8am to 3pm","Friday","5",0.0254705285698185,0.000676208723092528
"3259",2017-11-30,"What Jeremy Clarkson thinks about Tesla","Mashable Daily","Autos and Vehicles",2017-11-28 14:27:30,300407,2917,366,957,FALSE,FALSE,FALSE,14,"8am to 3pm","Tuesday","2",0.00971015988309194,0.00121834710908867
"3351",2017-11-30,"Chuck Norris - Hunter - World of Warcraft TV Commercial - 2011","MrNorrisVideos","Gaming",2011-11-20 17:45:45,127521,696,52,233,FALSE,FALSE,FALSE,17,"3pm to 12am","Sunday","8+",0.00545792457712847,0.000407775974153277
"3428",2017-12-01,"I Built a FULL SIZE Tie Fighter/Silencer","colinfurze","Autos and Vehicles",2017-11-30 11:00:03,364537,21807,402,1406,FALSE,FALSE,FALSE,11,"8am to 3pm","Thursday","1",0.0598210881199988,0.00110276871757874
"3437",2017-12-01,"PokÃ©mon Challenge: Watch GAME FREAKâ€™s Kazumasa Iwao Guess the PokÃ©mon!","The Official PokÃ©mon YouTube Channel","Gaming",2017-11-30 11:11:54,47215,3390,40,490,FALSE,FALSE,FALSE,11,"8am to 3pm","Thursday","1",0.071799216350736,0.000847188393519009
"3930",2017-12-03,"Test footage of my raspberry pi camera in the dark","Facelesstech","Gaming",2017-11-25 14:26:31,1237,2,0,2,FALSE,FALSE,FALSE,14,"8am to 3pm","Saturday","8+",0.00161681487469685,0
"4018",2017-12-04,"INDIAN STREET FOOD of YOUR DREAMS in Kolkata, India | ENTER CURRY HEAVEN + BEST STREET FOOD in India","The Food Ranger","Travel and Events",2017-12-02 09:00:00,341584,11547,389,3418,FALSE,FALSE,FALSE,9,"8am to 3pm","Saturday","2",0.0338042765469109,0.00113881212234765
"4289",2017-12-05,"1991 Pontiac Lineup Commercial - With Patrick Stewart Narrating","Car Commercials of the Past","Autos and Vehicles",2015-09-03 02:01:12,4631,21,0,6,FALSE,FALSE,FALSE,2,"12am to 8am","Thursday","8+",0.00453465774130857,0
"4603",2017-12-07,"PokÃ©mon GO - More PokÃ©mon, More Adventure. Now with Dynamic Weather Gameplay!","PokÃ©mon GO","Gaming",2017-12-06 08:59:34,660509,10046,533,2243,FALSE,FALSE,FALSE,8,"8am to 3pm","Wednesday","1",0.0152094823840402,0.000806953425312903
"4810",2017-12-08,"In the Valley of Gods Announcement Trailer","Campo Santo Productions","Gaming",2017-12-07 21:10:51,35817,1979,356,0,TRUE,FALSE,FALSE,21,"3pm to 12am","Thursday","0",0.0552530921071,0.00993941424463244
"4829",2017-12-08,"Youtube Rewind 2017 - BEHIND THE SCENES","Muselk","Gaming",2017-12-06 13:00:04,443919,17490,513,2682,FALSE,FALSE,FALSE,13,"8am to 3pm","Wednesday","2",0.039399079561812,0.00115561622728471
"4845",2017-12-08,"CES 2018 Preview: Honda's New Robotics Concept","Honda","Autos and Vehicles",2017-12-07 06:00:03,20188,174,42,31,FALSE,FALSE,FALSE,6,"12am to 8am","Thursday","1",0.00861898157321181,0.00208044382801664
"4851",2017-12-08,"A Train Runs Through It: Thailandâ€™s Most Dangerous Market","Great Big Story","Travel and Events",2017-12-07 02:00:00,84056,2960,42,248,FALSE,FALSE,FALSE,2,"12am to 8am","Thursday","1",0.0352146188255449,0.000499666888740839
"5005",2017-12-09,"The Game Awards - Full Show with Death Stranding, Zelda and More","thegameawards","Gaming",2017-12-08 03:23:49,1287342,26557,1467,1905,FALSE,FALSE,FALSE,3,"12am to 8am","Friday","1",0.0206293277155566,0.00113955732043233
"5009",2017-12-09,"The Legend of Zelda: Breath of the Wild - Expansion Pass: DLC Pack 2 The Championsâ€™ Ballad Trailer","Nintendo","Gaming",2017-12-07 21:31:28,1388707,44932,691,7905,FALSE,FALSE,FALSE,21,"3pm to 12am","Thursday","1",0.0323552772471083,0.000497585163753045
"5028",2017-12-09,"PLAYERUNKNOWN'S BATTLEGROUNDS - The Game Awards 2017 Gameplay Trailer","PLAYERUNKNOWN'S BATTLEGROUNDS","Gaming",2017-12-07 23:04:56,367796,5196,181,644,FALSE,FALSE,FALSE,23,"3pm to 12am","Thursday","1",0.0141273967090452,0.000492120632089528
"5034",2017-12-09,"OUR SECRET FAN FICTIONS?! - Truth Bombs #2!","DanAndPhilGAMES","Gaming",2017-12-07 18:41:17,580796,74565,218,9685,FALSE,FALSE,FALSE,18,"3pm to 12am","Thursday","2",0.128384148651162,0.000375346937651086
"5517",2017-12-11,"Mesmerizing Shockwaves in Your Window Screen (18,000FPS) - Beyond Slow Motion","BeyondSlowMotion","Travel and Events",2017-12-08 13:09:53,12468,310,12,32,FALSE,FALSE,FALSE,13,"8am to 3pm","Friday","3",0.0248636509464228,0.000962463907603465
"5699",2017-12-12,"Flying Through a  Sunset Storm || ViralHog","ViralHog","Travel and Events",2017-12-10 06:07:26,2700,59,2,7,FALSE,FALSE,FALSE,6,"12am to 8am","Sunday","2",0.0218518518518519,0.000740740740740741
"5748",2017-12-12,"Second-hand cars - transforming old Ford Mustangs into high-end watches","Ford Europe","Autos and Vehicles",2017-12-08 05:36:15,10020,70,7,1,FALSE,FALSE,FALSE,5,"12am to 8am","Friday","4",0.00698602794411178,0.000698602794411178
"5764",2017-12-12,"70 People Try 70 Tongue-Twisters From 70 Countries | CondÃ© Nast Traveler","CondÃ© Nast Traveler","Travel and Events",2017-12-06 15:42:56,30269,259,30,86,FALSE,FALSE,FALSE,15,"8am to 3pm","Wednesday","6",0.00855660907198784,0.000991113019921372
"6072",2017-12-14,"The Legend of Zelda: Breath of the Wild Expansion Pass - The Championsâ€™ Ballad Trailer","Nintendo","Gaming",2017-12-13 10:10:38,83487,5059,100,823,FALSE,FALSE,FALSE,10,"8am to 3pm","Wednesday","1",0.060596260495646,0.00119779127289279
"6228",2017-12-15,"Music of Splatoon 2 BTS - Nintendo Switch","Nintendo","Gaming",2017-12-14 16:44:29,109028,10357,109,1581,FALSE,FALSE,FALSE,16,"3pm to 12am","Thursday","1",0.0949939465091536,0.00099974318523682
"6477",2017-12-16,"Welcome to Winter PUNderland","Kyle Gunderson","Travel and Events",2017-12-12 12:07:53,49461,766,31,41,FALSE,FALSE,FALSE,12,"8am to 3pm","Tuesday","4",0.0154869493136006,0.000626756434362427
"6571",2017-12-16,"How a $4,550 Bespoke Bicycle is Made","Bloomberg","Autos and Vehicles",2017-12-13 09:54:32,22195,391,48,40,FALSE,FALSE,FALSE,9,"8am to 3pm","Wednesday","3",0.0176165803108808,0.00216264924532552
"6792",2017-12-17,"PLAYERUNKNOWN'S BATTLEGROUNDS Xbox Action Trailer","Xbox","Gaming",2017-12-12 12:57:01,48735,2465,109,411,FALSE,FALSE,FALSE,12,"8am to 3pm","Tuesday","5",0.0505796655381143,0.002236585616087
"6824",2017-12-18,"DELIT DE FUITE - le Justicier de NoÃ«l","CHRIS-RS","Autos and Vehicles",2017-12-15 11:00:03,701821,21102,290,2299,FALSE,FALSE,FALSE,11,"8am to 3pm","Friday","3",0.0300674958429571,0.000413210775967091
"7004",2017-12-19,"Donald Trump audio-animatronic figure at the new Hall of Presidents","wdwmagic","Travel and Events",2017-12-18 17:00:48,188213,4174,2743,2525,FALSE,FALSE,FALSE,17,"3pm to 12am","Monday","1",0.0221770015886257,0.0145739135978918
"7013",2017-12-19,"FIRST LOOK: Donald Trump animatronic debuts in Hall of Presidents at Walt Disney World","Inside the Magic","Travel and Events",2017-12-18 17:06:36,80200,1194,1142,1031,FALSE,FALSE,FALSE,17,"3pm to 12am","Monday","1",0.0148877805486284,0.0142394014962594
"7062",2017-12-19,"The Next Century of Chevy Trucks Starts Here | Chevrolet","Chevrolet","Autos and Vehicles",2017-12-16 22:53:51,57915,565,66,178,FALSE,FALSE,FALSE,22,"3pm to 12am","Saturday","2",0.00975567642234309,0.00113960113960114
"7215",2017-12-20,"The Most Beautiful Restaurant in Japan - Kyoto Kitcho","Simon and Martina","Travel and Events",2017-12-19 19:53:14,67025,5946,74,879,FALSE,FALSE,FALSE,19,"3pm to 12am","Tuesday","0",0.0887131667288325,0.00110406564714659
"7228",2017-12-20,"Donald Trump animatronic debuts in Hall of Presidents at Walt Disney World","Inside the Magic","Travel and Events",2017-12-18 17:06:36,309393,2837,3068,2222,FALSE,FALSE,FALSE,17,"3pm to 12am","Monday","2",0.00916956750799145,0.00991619073476129
"7662",2017-12-22,"Thank you, Paloma","Lyft","Travel and Events",2017-12-20 09:00:57,31088,944,26,93,FALSE,FALSE,FALSE,9,"8am to 3pm","Wednesday","2",0.0303654143077715,0.000836335563561503
"8053",2017-12-24,"Manhattan Express Big Apple Roller Coaster 4K 60FPS NYNY Las Vegas Hotel Casino Front Seat POV","Theme Park Review","Travel and Events",2017-12-22 17:00:04,29017,527,25,158,FALSE,FALSE,FALSE,17,"3pm to 12am","Friday","2",0.0181617672398939,0.000861563910810904
"8229",2017-12-25,"Tesla Santa Mode Easter Egg with Icy Roads, Reindeer, Jingle Bells and More","DragTimes","Autos and Vehicles",2017-12-23 18:57:32,30484,386,33,62,FALSE,FALSE,FALSE,18,"3pm to 12am","Saturday","2",0.0126623802650571,0.00108253510038053
"8420",2017-12-26,"Watch Tesla's Secret Santa Mode!  Easter Egg with Icy Roads, Reindeer, Jingle Bells and More","DragTimes","Autos and Vehicles",2017-12-23 18:57:32,90206,725,140,151,FALSE,FALSE,FALSE,18,"3pm to 12am","Saturday","3",0.00803715939072789,0.00155200319269228
"8816",2017-12-28,"Completely Spillproof Travel Bag","INSIDER","Travel and Events",2017-12-27 10:17:40,34927,522,79,175,FALSE,FALSE,FALSE,10,"8am to 3pm","Wednesday","1",0.0149454576688522,0.00226186045179947
"8836",2017-12-28,"Rubik's Cube Table Version 2","nothorwitzer","Autos and Vehicles",2017-10-29 21:30:42,30550,555,72,100,FALSE,FALSE,FALSE,21,"3pm to 12am","Sunday","8+",0.0181669394435352,0.00235679214402619
"8955",2017-12-28,"70 People from 70 Countries Imitate Americans | CondÃ© Nast Traveler","CondÃ© Nast Traveler","Travel and Events",2017-12-19 12:01:17,16207,166,71,45,FALSE,FALSE,FALSE,12,"8am to 3pm","Tuesday","8+",0.0102424878139076,0.00438082310112914
"9030",2017-12-29,"AMAZING CANADIAN FOOD | INSANELY HUGE Christmas Turkey DINNER FEAST and EGGS BREAKFAST in CANADA","The Food Ranger","Travel and Events",2017-12-27 10:00:00,285129,11625,335,2409,FALSE,FALSE,FALSE,10,"8am to 3pm","Wednesday","2",0.0407710194333091,0.00117490679657278
"10003",2018-01-03,"Developer Update | Happy New Year | Overwatch","PlayOverwatch","Gaming",2018-01-02 13:00:01,780084,39946,1089,10203,FALSE,FALSE,FALSE,13,"8am to 3pm","Tuesday","1",0.0512073058798796,0.0013960035073146
"10211",2018-01-04,"INDIAN STREET FOOD Tour DEEP in PUNJAB, INDIA | BEST STREET FOOD in INDIA and BEST CURRY HEAVEN!","The Food Ranger","Travel and Events",2018-01-03 10:00:02,274036,12512,273,3385,FALSE,FALSE,FALSE,10,"8am to 3pm","Wednesday","1",0.045658234684494,0.000996219474813528
"10285",2018-01-04,"Thirty Car Pile up in the Snow || ViralHog","ViralHog","Autos and Vehicles",2017-12-31 00:26:22,62253,163,30,79,FALSE,FALSE,FALSE,0,"12am to 8am","Sunday","4",0.00261834771015051,0.00048190448653077
"10456",2018-01-05,"Kitchen Gadgets for Perfectionists","INSIDER","Travel and Events",2018-01-03 13:18:52,126851,2609,72,166,FALSE,FALSE,FALSE,13,"8am to 3pm","Wednesday","2",0.0205674373871708,0.000567595052463126
"10461",2018-01-05,"Nintendo Switch Now the Fastest-Selling Home Console in US History - IGN News","IGN News","Gaming",2018-01-04 09:48:10,6191,274,13,171,FALSE,FALSE,FALSE,9,"8am to 3pm","Thursday","1",0.0442577935713132,0.00209982232272654
"10480",2018-01-05,"[HOONIGAN] DT 190: $200 Miata Kart Build [Part 6] - Cage Build and Indoor Donuts","TheHoonigans","Autos and Vehicles",2018-01-02 03:00:02,321245,11072,93,918,FALSE,FALSE,FALSE,3,"12am to 8am","Tuesday","3",0.0344659060841414,0.000289498669239988
"10482",2018-01-05,"I Said I Would NEVER Do This To My Truck... BIG MODS INCOMING!","Street Speed 717","Autos and Vehicles",2018-01-01 23:29:12,229570,9211,311,1152,FALSE,FALSE,FALSE,23,"3pm to 12am","Monday","3",0.0401228383499586,0.00135470662543015
"10494",2018-01-05,"Polish Girl buys Sail Boat for â‚¬1 !!      ......    Yes, that is ONE EURO. Ep. 122","Sailing La Vagabonde","Travel and Events",2018-01-01 17:39:29,182778,6153,94,451,FALSE,FALSE,FALSE,17,"3pm to 12am","Monday","4",0.0336637888586154,0.000514285089015089
"10498",2018-01-05,"BEST Pho! TRADITIONAL Noodle Tour of Saigon Vietnam","Strictly Dumpling","Travel and Events",2017-12-31 12:44:53,381223,11674,208,1812,FALSE,FALSE,FALSE,12,"8am to 3pm","Sunday","5",0.0306224965440175,0.000545612410583831
"10502",2018-01-05,"The Continental Divide Trail in Four Minutes","Halfway Anywhere","Travel and Events",2017-12-25 06:00:00,49091,575,8,44,FALSE,FALSE,FALSE,6,"12am to 8am","Monday","8+",0.011712941272331,0.000162962661180257
"10510",2018-01-05,"Matt the Radar Technician in Star Wars Battlefront 2!  New Battlefront 2 Mod Gameplay!","Star Wars HQ","Gaming",2018-01-01 14:59:06,127452,3222,133,662,FALSE,FALSE,FALSE,14,"8am to 3pm","Monday","4",0.0252801054514641,0.00104353011329756
"10521",2018-01-05,"Guinness World Record For Worldâ€™s Largest Aerial Firework Shell","Red Robot - Intelligent Distribution","Travel and Events",2017-12-31 18:40:51,84474,234,21,19,FALSE,FALSE,FALSE,18,"3pm to 12am","Sunday","5",0.00277008310249307,0.000248597201505789
"10830",2018-01-07,"YOUTUBE SENT ME A MYSTERY GIFT!!!","DanTDM","Gaming",2018-01-04 13:32:27,1628997,86583,764,57848,FALSE,FALSE,FALSE,13,"8am to 3pm","Thursday","3",0.0531511107755263,0.000469000249846992
"11104",2018-01-08,"OjO Commuter ScooterÂ®- Light Electric Vehicle for the Bike Lane & Beyond!","OjO Commuter Scooter by OjO Electric","Travel and Events",2017-11-10 14:18:46,789,3,0,0,FALSE,FALSE,FALSE,14,"8am to 3pm","Friday","8+",0.00380228136882129,0
"11117",2018-01-08,"New Year's Eve Penske Peel at the 11foot8 bridge","yovo68","Autos and Vehicles",2018-01-03 19:46:33,304017,3446,158,1925,FALSE,FALSE,FALSE,19,"3pm to 12am","Wednesday","4",0.0113348924566718,0.000519707779499173
"11216",2018-01-09,"L.A.â€™s Best Indian Food Is in This Gas Station","Great Big Story","Travel and Events",2018-01-08 02:00:00,268248,7150,138,597,FALSE,FALSE,FALSE,2,"12am to 8am","Monday","1",0.0266544391756882,0.000514449315558737
"11254",2018-01-09,"Mecum Collector Car Auction - Kissimmee 2018 Day 2","Mecum Auctions","Autos and Vehicles",2018-01-06 22:35:04,90556,360,53,19,FALSE,FALSE,FALSE,22,"3pm to 12am","Saturday","2",0.00397544061133442,0.000585273201113123
"11282",2018-01-09,"Visit an Immense, Real-Life Fairy-Tale Castle | National Geographic","National Geographic","Travel and Events",2018-01-06 08:00:01,44609,1823,19,124,FALSE,FALSE,FALSE,8,"8am to 3pm","Saturday","3",0.0408661929207111,0.000425923020018382
"11402",2018-01-12,"Nintendo Direct Mini 1.11.2018","Nintendo","Gaming",2018-01-11 09:00:00,1467488,74660,3020,22251,FALSE,FALSE,FALSE,9,"8am to 3pm","Thursday","1",0.0508760548638217,0.00205793846355132
"11428",2018-01-12,"Dunkey's Best of 2017","videogamedunkey","Gaming",2018-01-09 15:30:01,3492111,188444,3064,13708,FALSE,FALSE,FALSE,15,"8am to 3pm","Tuesday","3",0.0539627749518844,0.000877406245105038
"11481",2018-01-12,"Toaster Cooks Your Entire Breakfast For You","INSIDER","Travel and Events",2018-01-11 17:22:54,3472,426,8,63,FALSE,FALSE,FALSE,17,"3pm to 12am","Thursday","1",0.122695852534562,0.00230414746543779
"11526",2018-01-12,"Watch the ALL-NEW BMW M5 refuel mid-drift to take TWO GUINNESS WORLD RECORDSâ„¢ titles","BMW USA","Autos and Vehicles",2018-01-08 18:10:57,907516,6113,192,441,FALSE,FALSE,FALSE,18,"3pm to 12am","Monday","4",0.00673596939337709,0.000211566517835498
"11546",2018-01-12,"World premiere of the new Mercedes-Benz User Experience","Mercedes-Benz","Autos and Vehicles",2018-01-09 15:37:02,38585,907,33,76,FALSE,FALSE,FALSE,15,"8am to 3pm","Tuesday","3",0.02350654399378,0.00085525463262926
"11569",2018-01-12,"ALIENS THE RIDEã€êPlanet Coasterã€‘","Hin Nya","Gaming",2018-01-06 11:08:49,218855,7032,77,487,FALSE,FALSE,FALSE,11,"8am to 3pm","Saturday","6",0.0321308629000937,0.00035183112106189
"11604",2018-01-13,"Solve Mysteries with Detective Pikachu!","The Official PokÃ©mon YouTube Channel","Gaming",2018-01-12 09:42:47,439372,17772,1301,5039,FALSE,FALSE,FALSE,9,"8am to 3pm","Friday","1",0.0404486403321104,0.00296104439973417
"11610",2018-01-13,"Big sister reflexes","BrasherN","Gaming",2018-01-12 13:29:53,80760,1319,95,168,FALSE,FALSE,FALSE,13,"8am to 3pm","Friday","1",0.0163323427439326,0.00117632491332343
"11695",2018-01-13,"Toaster Cooks Your Entire Breakfast for You","INSIDER","Travel and Events",2018-01-11 17:22:54,56417,1740,29,152,FALSE,FALSE,FALSE,17,"3pm to 12am","Thursday","2",0.0308417675523335,0.000514029459205559
"11766",2018-01-13,"1992 Chevy Lumina Euro commercial","lugnutsoldcrap","Autos and Vehicles",2013-03-10 12:41:59,6491,15,0,8,FALSE,FALSE,FALSE,12,"8am to 3pm","Sunday","8+",0.00231089200431367,0
"11788",2018-01-13,"World premiere of the new Mercedes-Benz User Experience MBUX","Mercedes-Benz","Autos and Vehicles",2018-01-09 15:37:02,44216,929,33,74,FALSE,FALSE,FALSE,15,"8am to 3pm","Tuesday","4",0.0210104939388457,0.000746336167903022
"11833",2018-01-14,"Fresh Market Meat and Cheese Extravaganza in Rome, Italy","Simon and Martina","Travel and Events",2018-01-13 10:12:54,59758,3110,62,349,FALSE,FALSE,FALSE,10,"8am to 3pm","Saturday","1",0.052043241072325,0.0010375179892232
"12453",2018-01-17,"Most Interesting Electric SUV at CES 2018","WHAT'S INSIDE? FAMILY","Autos and Vehicles",2018-01-15 10:50:05,80102,1988,111,330,FALSE,FALSE,FALSE,10,"8am to 3pm","Monday","2",0.0248183565953409,0.00138573319018252
"12472",2018-01-17,"Fair Maiden - Epic NPC Man - VLDL","Viva La Dirt League","Gaming",2018-01-15 06:08:55,50014,3759,28,278,FALSE,FALSE,FALSE,6,"12am to 8am","Monday","2",0.0751589554924621,0.00055984324389171
"12473",2018-01-17,"Detroit Auto Show 2018: Press Day 1 - World debuts of new cars","Roadshow","Autos and Vehicles",2018-01-15 17:48:11,49536,503,127,20,FALSE,FALSE,FALSE,17,"3pm to 12am","Monday","2",0.0101542312661499,0.00256379198966408
"12476",2018-01-17,"Wallaby on Harbour Bridge","Business InsiderAu","Autos and Vehicles",2018-01-15 16:19:55,10477,35,14,0,TRUE,FALSE,FALSE,16,"3pm to 12am","Monday","2",0.00334065094969934,0.00133626037987974
"12482",2018-01-17,"2019 Chevrolet Silverado First Look - 2018 Detroit Auto Show","AutoGuide.com","Autos and Vehicles",2018-01-14 13:47:08,47430,480,63,247,FALSE,FALSE,FALSE,13,"8am to 3pm","Sunday","3",0.0101201771030993,0.00132827324478178
"12602",2018-01-18,"First Look at Nintendo Labo","Nintendo","Gaming",2018-01-17 17:00:05,2835938,117833,13921,36058,FALSE,FALSE,FALSE,17,"3pm to 12am","Wednesday","1",0.0415499210490497,0.00490878150368591
"12603",2018-01-18,"LOOK AT WHAT HE TURNED ME INTO... (ft. James Charles)","FaZe Rug","Gaming",2018-01-17 19:01:11,891157,89944,15512,38750,FALSE,FALSE,FALSE,19,"3pm to 12am","Wednesday","0",0.100929465851696,0.0174065849227465
"12688",2018-01-18,"2019 Toyota Avalon â€“ Redline: First Look â€“ 2018 NAIAS","Redline Reviews","Autos and Vehicles",2018-01-15 22:38:12,96774,1669,73,586,FALSE,FALSE,FALSE,22,"3pm to 12am","Monday","2",0.017246367826069,0.000754334842003017
"12724",2018-01-18,"The Original Ford Mustang BULLITT: The Holy Grail of Mustang | Mustang | Ford","Ford Motor Company","Autos and Vehicles",2018-01-14 17:20:19,83525,489,21,41,FALSE,FALSE,FALSE,17,"3pm to 12am","Sunday","4",0.00585453457048788,0.000251421730020952
"12760",2018-01-18,"Trump - S**thole Countries - shithole statement by NAMIBIA_Ÿ’©_Ÿ’©","Gondwana Collection Namibia","Travel and Events",2018-01-12 17:14:10,213584,1878,59,195,FALSE,FALSE,FALSE,17,"3pm to 12am","Friday","6",0.00879279346767548,0.000276237920443479
"12822",2018-01-19,"The Original Maserati Ghibli Proves Maserati Was Once Great","Doug DeMuro","Autos and Vehicles",2018-01-18 11:56:08,410280,11721,371,2957,FALSE,FALSE,FALSE,11,"8am to 3pm","Thursday","1",0.0285682948230477,0.000904260505020961
"12873",2018-01-19,"Nintendo Labo Isn't for Adults, and That's Okay","IGN","Gaming",2018-01-17 21:19:35,108184,2721,319,1301,FALSE,FALSE,FALSE,21,"3pm to 12am","Wednesday","1",0.0251515935813059,0.00294868002662131
"12881",2018-01-19,"The Most Expensive Countries To Buy Cool Used Cars","Car Throttle","Autos and Vehicles",2018-01-17 14:28:07,235077,7911,163,5122,FALSE,FALSE,FALSE,14,"8am to 3pm","Wednesday","2",0.0336528031240827,0.000693389825461445
